test_loss,test_accuracy,predictions,targets
1.9465930688948858,0.14285714285714285,2,6
1.9465930688948858,0.14285714285714285,2,0
1.9465930688948858,0.14285714285714285,2,3
1.9465930688948858,0.14285714285714285,2,1
1.9465930688948858,0.14285714285714285,2,4
1.9465930688948858,0.14285714285714285,2,5
1.9465930688948858,0.14285714285714285,2,3
1.9465930688948858,0.14285714285714285,2,5
1.9465930688948858,0.14285714285714285,2,4
1.9465930688948858,0.14285714285714285,2,5
1.9465930688948858,0.14285714285714285,2,0
1.9465930688948858,0.14285714285714285,2,1
1.9465930688948858,0.14285714285714285,2,6
1.9465930688948858,0.14285714285714285,2,3
1.9465930688948858,0.14285714285714285,2,2
1.9465930688948858,0.14285714285714285,2,1
1.9465930688948858,0.14285714285714285,2,2
1.9465930688948858,0.14285714285714285,2,0
1.9465930688948858,0.14285714285714285,2,2
1.9465930688948858,0.14285714285714285,2,4
1.9465930688948858,0.14285714285714285,2,6
