file_path,emotion,intensity,actor_id,gender
data/audio/ravdess/Actor_01/03-01-01-01-01-01-01.wav,neutral,normal,01,male
data/audio/ravdess/Actor_01/03-01-01-01-01-02-01.wav,neutral,normal,01,male
data/audio/ravdess/Actor_01/03-01-01-01-02-01-01.wav,neutral,normal,01,male
data/audio/ravdess/Actor_01/03-01-01-01-02-02-01.wav,neutral,normal,01,male
data/audio/ravdess/Actor_01/03-01-02-01-01-01-01.wav,calm,normal,01,male
data/audio/ravdess/Actor_01/03-01-02-01-01-02-01.wav,calm,normal,01,male
data/audio/ravdess/Actor_01/03-01-02-01-02-01-01.wav,calm,normal,01,male
data/audio/ravdess/Actor_01/03-01-02-01-02-02-01.wav,calm,normal,01,male
data/audio/ravdess/Actor_01/03-01-02-02-01-01-01.wav,calm,strong,01,male
data/audio/ravdess/Actor_01/03-01-02-02-01-02-01.wav,calm,strong,01,male
data/audio/ravdess/Actor_01/03-01-02-02-02-01-01.wav,calm,strong,01,male
data/audio/ravdess/Actor_01/03-01-02-02-02-02-01.wav,calm,strong,01,male
data/audio/ravdess/Actor_01/03-01-03-01-01-01-01.wav,happy,normal,01,male
data/audio/ravdess/Actor_01/03-01-03-01-01-02-01.wav,happy,normal,01,male
data/audio/ravdess/Actor_01/03-01-03-01-02-01-01.wav,happy,normal,01,male
data/audio/ravdess/Actor_01/03-01-03-01-02-02-01.wav,happy,normal,01,male
data/audio/ravdess/Actor_01/03-01-03-02-01-01-01.wav,happy,strong,01,male
data/audio/ravdess/Actor_01/03-01-03-02-01-02-01.wav,happy,strong,01,male
data/audio/ravdess/Actor_01/03-01-03-02-02-01-01.wav,happy,strong,01,male
data/audio/ravdess/Actor_01/03-01-03-02-02-02-01.wav,happy,strong,01,male
data/audio/ravdess/Actor_01/03-01-04-01-01-01-01.wav,sad,normal,01,male
data/audio/ravdess/Actor_01/03-01-04-01-01-02-01.wav,sad,normal,01,male
data/audio/ravdess/Actor_01/03-01-04-01-02-01-01.wav,sad,normal,01,male
